[+1.3931448126075e+07, +1.0973342502394e-18]
[+1.3928932998140e+07, +1.1012013026027e-18]
[+1.3926415423417e+07, +1.1050721730311e-18]
[+1.3923895414270e+07, +1.1089468424856e-18]
[+1.3921372983064e+07, +1.1128252919277e-18]
[+1.3918848142164e+07, +1.1167075023195e-18]
[+1.3916320903933e+07, +1.1205934546237e-18]
[+1.3913791280735e+07, +1.1244831298041e-18]
[+1.3911259284930e+07, +1.1283765088252e-18]
[+1.3908724928880e+07, +1.1322735726531e-18]
[+1.3906188224945e+07, +1.1361743022548e-18]
[+1.3903649185484e+07, +1.1400786785988e-18]
[+1.3901107822854e+07, +1.1439866826554e-18]
[+1.3898564149412e+07, +1.1478982953962e-18]
[+1.3896018177513e+07, +1.1518134977950e-18]
[+1.3893469919510e+07, +1.1557322708274e-18]
[+1.3890919387756e+07, +1.1596545954711e-18]
[+1.3888366594601e+07, +1.1635804527060e-18]
[+1.3885811552394e+07, +1.1675098235144e-18]
[+1.3883254273481e+07, +1.1714426888812e-18]
[+1.3880694770207e+07, +1.1753790297939e-18]
[+1.3878133054916e+07, +1.1793188272426e-18]
[+1.3875569139948e+07, +1.1832620622205e-18]
[+1.3873003037642e+07, +1.1872087157237e-18]
[+1.3870434760335e+07, +1.1911587687517e-18]
[+1.3867864320361e+07, +1.1951122023069e-18]
[+1.3865291730052e+07, +1.1990689973955e-18]
[+1.3862717001737e+07, +1.2030291350270e-18]
[+1.3860140147743e+07, +1.2069925962148e-18]
[+1.3857561180394e+07, +1.2109593619759e-18]
[+1.3854980112011e+07, +1.2149294133314e-18]
[+1.3852396954914e+07, +1.2189027313065e-18]
[+1.3849811721417e+07, +1.2228792969304e-18]
[+1.3847224423834e+07, +1.2268590912368e-18]
[+1.3844635074474e+07, +1.2308420952639e-18]
[+1.3842043685643e+07, +1.2348282900543e-18]
[+1.3839450269645e+07, +1.2388176566554e-18]
[+1.3836854838779e+07, +1.2428101761196e-18]
[+1.3834257405343e+07, +1.2468058295039e-18]
[+1.3831657981629e+07, +1.2508045978708e-18]
